Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
A065;Galleta marinera;gramos;1;10,5;360,74;12,8;0,7;0,171;0,42;0,108;0;75,81;0,09;0,1;30;10,3;16;115;3,24;0,51;4,36;405;0;0,991;0,45;0;0;0
A066;Galletas de agua sin sal;gramos;1;5,1;433,5;13,5;15,5;3,79;9,3;2,4;0;60;2;3,9;109;99;44;174;3,43;0;1,1;316,2;0;0,63;0,61;0;0;0
A067;Galletas integrales sin sal;gramos;1;5,4;410,6;10,6;15,8;3,86;9,48;2,45;0;56,5;9,8;1,89;74;182;19;200;2;2,2;4,5;28;0;0,2;0,1;0;0;0
A068;Obleas / Cucurucho / Cubanito + el relleno correspondiente en otro codigo;gramos;1;12;438,7;4,9;21,1;5,16;12,66;3,27;0;57,3;0,7;4;208;43;46;128;2,95;0,11;1,56;149;0;0,376;0,123;0;0;0
A069;Grisines;gramos;1;10;341,84;12,5;0,2;0,04;0,12;0,031;0;72,51;0,09;4,7;628;148;24;143;4,65;0,53;4,52;388,6;0;0,979;0,467;0;0;0
A070;Harina de quinua;gramos;1;13,7;335,8;9,1;2,6;0,28;0,741;1,13;0;69;3,1;2,5;14,2;496;181;61;3,7;0;0,68;33;0;0,16;0,21;0;0;0
A071;Pan árabe;gramos;1;41,5;239,53;7,12;4,01;0,644;0,663;1,484;0;43,74;3,08;0,48;264;127,6;15,98;162;2,97;1,23;0,95;254;2;1,55;0,152;0,03;0;0
A072;Pan criollo / semita / tortillas / bollos / Harinitas (cada una: harina de maiz 5 gramos + azúcar 2 gramos);gramos;1;25,26;309,53;10,06;3,93;1,957;1,642;0,157;11;58,48;0,09;2,18;631;290;34;81;5,39;2;7,45;299,2;42;1,19;0,54;0;0;0
B001;Amargo serrano;mililitros;1;80;80;0;0;0;0;0;0;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
B002;Amargo serrano diet;mililitros;1;99,8;0;0;0;0;0;0;0;0;0;0,2;45;0;0;0;0;0;0;0;0;0;0;0;0;0
B003;Bebidas a base de soja;mililitros;1;89,26;47,08;3,75;2,08;0,214;0,326;0,833;0;3,34;1,3;0,27;12;141;4;49;0,58;0,23;0,15;2;2;0,161;0,07;0;0;0
B004;Bebidas a base de soja light;mililitros;1;95,2;17,8;0,6;0,2;0,199;0,303;0,774;0;3,4;0,3;0,25;11,25;131,1;48;45,57;1,12;0,21;0,14;1,86;48;0,149;0,065;0,06;0;0
B005;Bebidas destiladas promedio;mililitros;1;66,6;234;0;0;0;0;0;0;0;0;0;1;2;0;4;0,04;0,04;0,01;0;0;0,006;0,004;0;0;0
B006;Cerveza con alcohol;mililitros;1;94,32;40;0,3;0,06;0;0;0;0;1,51;0,1;0,1;4;25;5;13;0,02;0,01;0,45;6;0;0,006;0,026;0,02;0;0
B007;Cerveza sin alcohol;mililitros;1;93,5;23,6;0;0;0;0;0;0;5,9;0,1;0,1;4;25;5;13;0,02;0,01;0,45;6;0;0,006;0,026;0,02;0;0
B008;Gaseosas;mililitros;1;89,1;43,2;0,05;0;0;0;0;0;10,75;0;0,1;4;1;3;13;0,02;0,01;0;0;0;0;0;0;0;0
B009;Gaseosas diet;mililitros;1;99,8;0,4;0,1;0;0;0;0;0;0;0;0,1;6;2;4;0;0,04;0;0;0;0;0;0;0;0;0
B010;Jugo tipo Cepita;mililitros;1;87,93;47,55;0,06;0,11;0,019;0,05;0,033;0;11,58;0,1;0,22;3;119;7;7;0,37;0,03;0,1;0;0;0,021;0,017;0;23,52;0
B011;Jugos en polvo;mililitros;1;0,4;398,6;0,1;0,2;0,035;0,062;0,098;0;99,1;0;0,2;38;5;3;3;0,44;0;0,07;0;0;0,003;0,11;0;200;0
B012;Jugos en polvo diet;mililitros;1;0,4;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0
B013;Licores;mililitros;1;31;298;0,1;0,3;0,106;0,022;0,105;0;46,8;0;0,1;8;30;1;6;0,06;0,03;0,14;0;0;0,004;0,012;0;0;0
B014;Refresco concentrado liquido / jugos congelados en sachet / Achilate;mililitros;1;59,2;157,2;0,4;0;0,002;0,003;0,004;0;38,9;0,1;1,4;26;465;10;115;0,26;0,12;0,87;0;1;0,363;3,59;0;0;0
B015;Sidra;mililitros;1;90,13;55;0,38;0;0;0;0;0;4;0;0,19;6;81;8;13;0,34;0,06;0,07;1;0;0,004;0,015;0,01;0;0
B016;Vermoth;mililitros;1;70;174;0;0;0;0;0;0;12;0;0;2;28;6;6,72;0,11;0,02;0;0;0;0;0;0;0;0
B017;Vino;mililitros;1;87,1;79;0,2;0;0;0;0;0;3,2;0;0,2;6;84;8;13;0,35;0,06;0,07;1;0;0,004;0,016;0,01;0;0
C001;Cabra;gramos;1,92;75,84;103,19;20,6;2,31;0,71;1,03;0,17;57;0;0;1,11;82;385;13;180;2,83;4;3,75;5;0;0,11;0,49;1,13;0;0
C002;Cerdo promedio / Carpincho;gramos;1,66;60,7;249,7;19,9;18,9;7,156;9,17;2,208;73;0;0;0,5;99;380;2;233;1,39;2,42;11,6;4;2;0,584;0,089;0,65;0;0
C003;Chorizo;gramos;1;39,8;454,2;13;44,2;14,5;18,5;5,7;68;1,1;0;1,9;770;150;18;108;0,9;1,6;2,7;4;0;0,107;0,162;0,99;0;0
C004;Jamón cocido;gramos;1;60,4;210,8;20,3;14,4;4,803;6,4;1,482;57;0;0;4,9;1900;107;15;143;7,45;1,97;5,05;4;0;0,887;0,215;0,84;0;0
C005;Jamón crudo;gramos;1;28,9;473,4;18;44,6;14,5;18,5;5,7;68;0;0;8,5;2940;219;11;152;4,02;2,2;3,72;5,5;0;0,147;0,223;1,36;0;0
C006;Panceta;gramos;1;14,3;674;8,3;70,8;21,3;26,3;6,8;67;0,9;0;6,6;1780;17;37;38;1,27;1,2;2,8;2;0;0,4;0,1;2,76;0;0
C007;Chinchulines;gramos;1,12;84,16;81,49;12,07;3,69;1,291;1,533;0,18;122;0;0;0,55;97;67;69;64;0,6;1,42;0,88;5;0;0;0,064;1,39;0;0
C008;Conejo;gramos;1,66;72,82;130,15;20,05;5,55;1,66;1,5;1,08;57;0;0;0,72;41;330;13;213;1,57;1,57;7,27;8;0;0,1;0,15;7,16;0;0
C009;Cordero promedio;gramos;1,2;77;99,1;18,7;2,7;1,14;1,28;0,29;67;0;0;2,2;97;361;13;170;1,7;5,8;10,6;21,3;0;0,1;0,111;2,38;0;0
C010;Hamburguesas industrializadas de pollo;gramos;1;67,88;181,32;19,5;10,68;2,98;4,33;2,275;74;1,8;0;0,93;71;209;10,5;161;0,88;1,28;7,67;7;31;0,065;0,124;0,33;0;0
C011;Hamburguesas industrializadas de carne vacuna;gramos;1;65,72;209,36;18,59;15;5,866;6,555;0,377;68;0;0;0,91;66;295;15;171;2,09;4,48;4,65;6;0;0,042;0,152;2,17;0;0
C012;Hígado;gramos;1,07;69,7;131,6;19,7;3,2;1,245;0,483;0,469;278;6;0;1,4;86;320;4;376;9,95;4,04;12,7;295;5047;0,187;2,3;59,9;0;0
C013;Lengua;gramos;1,02;64,53;219,13;14,9;16,09;7;7,24;0,9;87;3,68;0;0,8;69;315;6;133;2,95;2,87;4,24;7;0;0,12;0,34;3,79;0;0
C014;Mollejas;gramos;1,07;67,8;231,87;12,18;20,35;7,01;7,05;3,8;223;0;0;1,38;96;360;7;393;2,1;2,06;3,45;2;0;0,109;0,345;2,13;0;0
C015;Mondongo;gramos;1,17;84,16;81,49;12,07;3,69;1,291;1,533;0,18;122;0;0;0,55;97;67;69;64;0,59;1,42;0,88;5;0;0;0,01;1,39;0;0
C016;Morcilla;gramos;1,05;47,3;374,06;14,6;34,5;13,4;15,9;3,46;120;1,29;0;2,31;680;38;6;22;6,4;1,3;1,2;5;0;0,07;0,13;1;0;0
C017;Mortadela;gramos;1;62,7;234,2;12,7;19;8,005;9,152;0,723;37;3,1;0;0;1128;147;9;178;1;1,83;2,5;5;0;0,05;0,1;1,4;0;0
C018;Pate / picadillo;gramos;1;53,9;314,8;14,2;28;9,57;12,36;3,16;255;1,5;0;2,2;697;138;70;200;5,5;2,85;3,3;60;991;0,03;1;3,2;0;0
C019;Pato;gramos;1,64;73,77;126,67;18,28;5,95;2,32;1,54;0,75;77;0;0;1,06;74;271;11;203;2,4;1,9;5,3;25;24;0,36;0,45;0,4;0;0
C020;Pavo;gramos;1,64;74,16;112,82;21,77;2,86;0,95;0,61;0,83;65;0;0;0,97;70;296;14;195;1,45;2,37;4,54;9;0;0,07;0,17;0,43;0;0
C021;Pollo con piel;gramos;1,64;69,68;174,12;19,5;10,68;2,98;4,33;2,275;74;0;0;0,93;71;209;10,5;161;0,88;1,28;7,67;7;31;0,065;0;0,33;0;0
C022;Pollo menudos;gramos;1,64;74,87;118,95;17,88;4,47;1,36;1,12;1,09;262;1,8;0;0,99;77;228;10;197;5,86;3,32;6,66;345;2657;0,088;1;11,41;0;0
C023;Pollo sin piel / Vizcacha / Jacare / Garza / Perdiz / Charata(ave) / Lampalagua (serpiente);gramos;1,64;75,44;109,12;21,61;2,52;0,65;0,74;0,61;69;0;0;0,98;75;242;11;181;0,87;1,43;8,63;7;12;0,75;0;0,37;0;0
C024;Queso de Cerdo;gramos;1;22,19;652,01;6,38;69,61;25,26;32,89;8,11;90;0;0;0,32;25;148;4;86;0,4;0,84;4,54;1;3;0,39;0;0,82;0;0
C025;Riñón;gramos;1,07;77,89;98,61;17,4;3,09;0,868;0,586;0,545;411;0,3;0;1,33;182;262;13;257;4,6;1,92;8,03;98;419;0,357;2,84;27,5;0;0
C026;Salame;gramos;1;34,7;411,35;22,86;34,39;12,2;17,1;3,21;79;2,6;0;5,47;1860;378;8;142;1,51;3,23;4,87;2;0;0,6;0,285;1,9;0;0
C027;Salchicha de viena;gramos;1;55,96;301,68;11,53;27,64;10,77;13,67;2,73;50;1,7;0;3,15;1120;167;11;86;1,15;1,84;2,63;4;18;0,199;0,12;1,3;0;0
C028;Salchicha parrillera;gramos;1;39,8;454,2;13;44,2;14,5;18,5;5,7;68;1,1;0;1,9;770;150;18;108;0,9;1,6;2,7;4;0;0,107;0,162;0,99;0;0
C029;Sesos;gramos;1,07;76,29;140,54;10,86;10,3;2,919;2,399;0,458;3010;1,1;0;1,51;126;274;43;362;2,55;1,02;3,55;3;7;0,092;0,199;9,51;0;0
C030;Ubre;gramos;1;65,2;230,2;15,7;18,6;6,41;6,44;3,47;205;0;0;1,3;67;276;9;327;2,22;2,58;4,45;3;0;0,14;0,445;14;0;0
C031;Vacuno, cortes sin hueso: asado vacio carne picada comun aguja falda alita duro matambre Guazuncho;gramos;1,17;65,7;209,4;18,6;15;5,866;6,555;0,377;68;0;0;0,91;66;295;15;180;2,24;4;5,07;6;0;0,042;0,156;2,17;0;0
C032;Vacuno, cortes con hueso: asado vacio carne picada comun aguja falda alita duro matambre Guazuncho;gramos;2,15;65,7;209,4;18,6;15;5,866;6,555;0,377;68;0;0;0,91;66;295;15;180;2,24;4;5,07;6;0;0,042;0,156;2,17;0;0
C033;Vacuno, cortes sin hueso: bola de lomo nalga peceto paleta cuadrada cuadril;gramos;1,17;73,28;130,64;21,41;5;2,219;2,136;0,221;62;0;0;1,05;66;346;9;198;2,38;5,09;5,49;3;0;0,041;0,161;2,24;0;0
C034;Vacuno, cortes con hueso: bola de lomo nalga peceto paleta cuadrada cuadril;gramos;2,15;73,28;130,64;21,41;5;2,219;2,136;0,221;62;0;0;1,05;66;346;9;198;2,38;5,09;5,49;3;0;0,041;0,161;2,24;0;0
C035;Vacuno, cortes sin hueso: lomo carne picada especial roast beef palomita bife angosto tortuguita Ñandu;gramos;1,17;69,5;170;20;10;4,058;4,353;0,344;65;0;0;0,98;66;321;12;184;2,09;5;4,65;5;0;0,042;0,152;2,21;0;0
C036;Vacuno, cortes con hueso: lomo carne picada especial roast beef palomita bife angosto tortuguita Ñandu;gramos;2,15;69,5;170;20;10;4,058;4,353;0,344;65;0;0;0,98;66;321;12;184;2,09;5;4,65;5;0;0,042;0,152;2,21;0;0
C037;Charqui de vaca;gramos;1;18,19;306,86;62,79;4,7;2,219;2,136;0,221;43;3,35;0;10,97;3830;934;109;931;11;11;6,1;144,99;478;0,22;0,78;0,1;0;0
C038;Charqui de cordero o chalona;gramos;1;16,65;397,14;61,02;16,9;5,29;5,92;1,34;111;0,24;0;5,19;1306;1064,1;137;743;12;13;23,84;98,78;0;0,449;0;11;0;0
D001;Alfajor de chocolate / Rhodesia;gramos;1;4;438,3;7,85;14,1;3,44;8,46;2,19;11;70;0,7;2,64;173;232;157;177;2,17;1,51;16,9;21,6;16;1,607;3,694;5;0;0
D002;Alfajor de dulce de leche / alfajor de Maicena;gramos;1;4,2;408,2;6,95;8;1,95;4,8;1,24;10;77,1;0,2;3,35;157;151;128;141;1,9;1,38;16;16;11;1,457;3,504;4,5;0;0
D003;Azúcar blanca molida;gramos;1;0,03;399,92;0;0;0;0;0;0;99,98;0;0;0;2;1;0;0,01;0;0;0;0;0;0,019;0;0;0
D004;Azúcar morena;gramos;1;1,77;388;0;0;0;0;0;0;97;0;0,9;39;346;85;22;1,91;0,18;0,08;1;0;0,008;0,007;0;0;0
D005;Dulce de batata;gramos;1;31,7;264,5;0,9;0,1;0;0;0;0;65;0;2,3;19;231;24;35;0,65;0;0;0;0;0;0;0;0;0
D006;Dulce de membrillo;gramos;1;19,4;310;0,4;0;0;0;0;0;77,1;0,8;2,3;67;207;21;19;6;0;0;0;0;0;0;0;0;0
D007;Jalea de membrillo;gramos;1;37;230;0,1;0,4;0;0;0;0;56,5;2,1;3,9;35;109;7;10;0,1;0;0;0;0;0;0;0;0;0
D008;Dulce de leche;gramos;1;24,3;340,6;8,1;9;4;1,8;0,2;30;56,8;0;1,8;122;393;322;257;0,27;0,9;0;0;14;0,022;0,973;0;0;0
D009;Flan en polvo;gramos;1;0,9;392,1;11,2;0,1;0;0;0;0;86,6;0;1,2;200;203;68;59;0,1;0;0,14;0;0;0,02;0,34;0;0;0
D010;Mermelada de frutas;gramos;1;20;313,82;3,5;0,1;0;0;0;0;74,73;1,67;0,34;49;117;30;29;0,74;0,09;0,2;17;1,52;0,006;0,01;0;0;0
D011;Miel / Arrope / Kero;gramos;1;17,1;330;0,3;0;0;0;0;0;82,2;0,2;0,2;4;52;6;4;0,42;0,22;0,12;2;0;0;0,038;0;0,5;0
D012;Caramelo relleno;gramos;1;1,3;393,8;0;0,2;0;0;0;0;98;0;0,5;38;5;3;3;0,3;0,01;0,01;0;0;0,004;0,003;0;0;0
D013;Caramelos masticables;gramos;1;6,3;373,85;0;0,05;0;0;0;0;93,35;0,2;0,1;50;37;3;4;0,13;0,05;0,01;0;0;0,004;0,011;0;0;0
D014;Caramelos duros;gramos;1;1,3;393,8;0;0,2;0;0;0;0;98;0;0,5;38;5;3;3;0,3;0,01;0,01;0;0;0,004;0,003;0;0;0
D015;Caramelos duros dietéticos;gramos;1;1,4;373,6;0;0;0;0;0;0;93,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D016;Chocolate para taza / mantecol;gramos;1;0,9;525,4;5,54;32,4;26,82;5,14;0,44;5;52,91;6,5;0,67;6;502;30;51;2,13;0,01;0;0;17,5;0;0,01;0,16;0;0
D017;Chocolatín;gramos;1;0,5;541,02;5,4;31,5;12,71;7,38;3,92;9;58,98;3,42;0,2;93;487;175;215;1,67;0,83;5,4;34;31;0,902;1,163;0,29;0;0
D018;Cacao en polvo;gramos;1;1,5;383,6;5,88;4;2,408;1,326;0,119;6;81,02;3,5;4,1;504;712;141;315;1,19;1,46;0,59;0;1;0,096;0,565;1,32;0;0
D019;Helado de agua;gramos;1;70;114,2;0;0;0;0;0;0;28,55;0,95;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D020;Helado de crema;gramos;1;61;204,6;3,5;11;6,79;2,97;0,451;44;22,9;0,7;0,9;80;199;128;105;0,09;0,69;0,12;5;118;0,041;0,24;0,39;0;0
D021;Gelatina preparada;gramos;1;84,39;61,64;1,22;0;0;0;0;0;14,19;0;0,2;75;1;3;22;0,02;0,01;0;1;0;0;0,006;0;0;0
D022;Gelatina dietética preparada;gramos;1;94,74;20,2;0,83;0;0;0;0;0;4,22;0;0,21;48;1;3;68;0,01;0;0;0;0;0;0;0;0;0
E001;Salsa p/ estofado fortificada (tipo TeknoFood);gramos;1;30,9;290,9;10,7;8,1;1,98;4,86;1,25;0;43,8;5,4;1,1;9308;13,5;18,8;19;61,95;30,48;0,27;992;0;0,05;0,03;0;0;0
E002;Salsa  p/tuco fortificada (tipo TeknoFood);gramos;1;16,9;360,6;4,6;8,4;2,05;5,04;1,3;0;66,65;2,35;1,1;3200;0;6,3;19;75,33;37,5;0;1200;0;0;0;0;0;0
E003;Salsa blanca fortificada (tipo TeknoFood);gramos;1;17,4;374,3;13;9,9;2,42;5,94;1,53;0;58,3;0,3;1,1;1314,43;382;374;19;1,32;27,27;0,63;928;81,6;0,31;0,65;0,94;0;0
E004;Puré de papas fortificado (tipo TeknoFood);gramos;1;10,2;370,2;10,8;5;0,78;1,93;0,49;10;70,5;1,2;1,1;1471;235;179;290;0,86;10,5;0,11;324;51;0,06;0,38;0,59;0;0
E005;Mezcla p/locro fortificado (tipo TeknoFood);gramos;1;27,2;304,8;5,5;5,2;2,59;2,17;0,208;6;59;2;1,1;6000;3,1;9,8;115,6;25,5;12,5;0,01;400;0;0;0;0;0;0
E006;Mezcla p/panqueques fortificada (tipo TeknoFood);gramos;1;17,8;363,3;13,9;8,1;1,98;4,86;1,25;0;58,7;0,4;1,1;663,14;209,1;176,1;132;13,84;8,04;1,07;170;45;0,52;0,43;0,52;0;0
E007;Relleno de espinacas para panqueques (tipo TeknoFood);gramos;1;14,4;375,4;11,4;8,2;2;4,92;1,27;0;64;0,9;1,1;1871;236,4;275,2;290;1,63;0,61;0,11;7;50,6;0,06;0,38;0,59;0;0
E008;Relleno de verduras p/tarta (tipo TeknoFood);gramos;1;10,8;379,3;9,6;7,3;1,78;4,38;1,13;0;68,8;2,4;1,1;74,3;66,7;118,4;290;1,34;0,17;0,07;12;0;0,04;0,01;0;0;0
E009;Mezcla p/ preparar tarta fortificada (tipo TeknoFood);gramos;1;20,8;314;8,3;0,8;0,19;0,48;0,12;0;68,4;0,6;1,1;1951;504;14,1;132;10,15;5;1,22;207;0;0,59;0,12;0;0;0
E010;Mezcla p/preparar ñoquis fortificados (tipo TeknoFood);gramos;1;6,8;402,7;9,2;7,9;0,2;0,1;0,4;0;73,7;0,8;1,6;664;78;103;132;11,67;5,21;0,62;162;16,9;0,009;0,14;0,2;0;0
E011;Mezcla p/preparar pizza fortificada (tipo TeknoFood);gramos;1;21,8;310,5;8,4;0,9;0,19;0,48;0,12;0;67,2;0,6;1,1;1951;504;14,3;132;10,2;5;1,24;210;0;0,6;0,12;0;0;0
E012;Lentejas manchegas fortificadas (tipo TeknoFood);gramos;1;17,4;327,9;14,6;3,1;0,75;1,86;0,48;0;60,4;3,4;1,1;1603;945;125,2;531,1;6;7,24;2,66;351;0;0,57;0,11;0;0;0
E013;Arroz primavera fortificado (tipo TeknoFood);gramos;1;14,4;344,3;7,9;2,7;1,28;1,45;1,11;0;72,1;1,7;1,2;1404;90;28,5;104,3;13,82;5,85;3,51;166;9,6;0,51;0,06;0;0;0
E014;Arroz a la yaya fortificado (tipo TeknoFood);gramos;1;16,1;338;7,1;2,8;1,5;1,7;1,3;3;71,1;1,7;1,2;1404;87;25,8;168;13,48;5,83;3,17;166;0;0,44;0,04;0;0;0
E015;Carbonada criolla fortificada (tipo TeknoFood);gramos;1;14,6;342,8;13,9;4;0,97;2,4;0,62;0;62,8;3,6;1,1;1700;1,3;2,9;115,6;0,17;5;0,01;160;0;0;0;0;0;0
E016;Polenta portuguesa fortificada (tipo TeknoFood);gramos;1;0,6;418,3;9,8;5,5;0,8;1;1,5;2;82,4;0,6;1,1;1523;33;149;240;13,65;5,34;2,23;169;7;0,29;0,1;0,08;0;0
E017;Relleno sabor choclo p/tarta (tipo TeknoFood);gramos;1;8,2;397,6;9,1;7,6;1,85;4,56;1,18;0;73,2;0,8;1,1;631,95;104,6;174,3;115,6;1,64;0,27;0,96;3;22,5;0,14;0,19;0,26;0;0
E018;Polvo p/ preparar postre frutilla fortificado (tipo TeknoFood);gramos;1;6,2;412,8;9,4;8,4;0,71;0,33;0,028;4;74,9;0;1,1;129;428;599;59;0,15;1,1;0,2;12;572;0,1;0,69;1,06;0;0
E019;Polvo p/preparar postre chocolate fortificado (tipo TeknoFood);gramos;1;6,2;412,8;9,4;8,4;0,71;0,33;0,028;4;74,9;0;1,1;129;428;599;59;0,15;1,1;0,2;12;572;0,1;0,69;1,06;0;0
E020;Polvo p/ preparar postre vainilla fortificado (tipo TeknoFood);gramos;1;6,2;412,8;9,4;8,4;0,71;0,33;0,028;4;74,9;0;1,1;129;428;599;59;0,15;1,1;0,2;12;572;0,1;0,69;1,06;0;0
E021;Polvo p/ preparar postre durazno fortificado (tipo TeknoFood);gramos;1;6,2;412,8;9,4;8,4;0,71;0,33;0,028;4;74,9;0;1,1;129;428;599;59;0,15;1,1;0,2;12;572;0,1;0,69;1,06;0;0
E022;Arroz a la  Española Fortificado (tipo TeknoFood);gramos;1;24,5;271,3;11,2;4,1;1,5;1,7;1,3;3;47,4;11,6;1,2;1558;254;480;168;8,4;14;12;133;535;0,9;1,1;0,7;0;0
E023;Arroz a la Portuguesa (tipo TeknoFood);gramos;1;15;344,3;6,4;3,5;0,85;2,1;0,54;0;71,8;2,1;1,2;1515;208;267;104,3;4,8;6,51;12;133;533,3;0,9;1,1;0,7;0;0
E024;Cazuela de Arvejas Fortificada (tipo TeknoFood);gramos;1;40,8;165,3;18,5;7,3;1;2,6;2,4;0;6,4;25,9;1,1;1951;530;317;155;5,6;8;12;133;535;0,9;1,1;0,7;0;0
E025;Cereal Infantil Fortificado (tipo TeknoFood);gramos;1;8,5;375,8;11;3,8;1,39;1,57;1,2;2;74,4;1,2;1,1;233;90;7;50;15;3;6;20;0;0,15;1,53;0;80;0
E026;Fideos con Salsa (tipo TeknoFood);gramos;1;11;353,7;12,3;2,5;0,91;1,03;0,79;4;70,5;3;0,7;1951;530;33,9;153,1;1,3;1,2;1,9;23,1;89,8;0,1;0,1;0;0;0
E027;Guiso Campero (tipo TeknoFood);gramos;1;13,8;345,6;13,5;4,4;1,07;2,64;0,68;0;63;4,2;1,1;1951;530;72,4;214,4;2,1;1,3;2,2;52;275;0,2;0,1;0;0;0
E028;Guiso tipo Criollo (tipo TeknoFood);gramos;1;14,2;344,5;12,3;4,1;1;2,46;0,63;0;64,6;3,7;1,1;1951;530;67;201;2;1,3;2,1;48,9;220,8;0,2;0,1;0;0;0
E029;Guiso de Lentejas (tipo TeknoFood);gramos;1;18,9;330,4;19,8;6;1,46;3,6;0,03;0;49,3;4,8;1,2;1951;530;177,6;531,1;6,7;2,73;2,5;308,6;212;0,2;0,2;0;0;0
E030;Locro Norteño (tipo TeknoFood);gramos;1;24,76;325,39;7,23;8,47;2,07;5,08;1,31;0;55,06;3,38;1,1;1951;530;69,2;115,6;2,22;0,77;1,02;54,12;382,9;0,31;0,14;0;0;0
E031;Minestrone con Queso Fortificado (tipo TeknoFood);gramos;1;23,7;317,7;14,8;10,5;8,4;3,1;0,7;26;41;8,9;1,1;1980;525;480;227;5,6;12;18;200;800;1,4;1,6;1;0;0
E032;Minestrone sabor Panceta Fortificado (tipo TeknoFood);gramos;1;23,7;317,7;14,8;10,5;8,3;3,1;0,7;26;41;8,9;1,1;1963;504;480;217;5,6;12;18;200;800;1,4;1,6;1;0;0
E033;Ñoquis con Salsa (tipo TeknoFood);gramos;1;12,4;349,2;10,4;2;0,73;0,82;0,63;4;72,4;1,2;1,6;1951;504;34;153;1,5;1,2;1,9;23;90;0,183;0,124;0;0;0
E034;Polenta tipo Argentino Fortificado (tipo TeknoFood);gramos;1;18,3;306,5;6,9;0,9;0,8;1;1,5;2;67,7;5,1;1,1;1590;294;272;240;2,6;7,5;15;167;667;1,2;1,3;0,8;0;0
E035;Postre Infantil Fortificado (tipo TeknoFood);gramos;1;4,3;384,24;14,4;1,2;0,71;0,33;0,028;4;78,96;0,04;1,1;233;41;68;59;6;4;8;0;240;0,5;0,6;0;0;0
E036;Sopas Fortificadas (tipo TeknoFood);gramos;1;21,9;368;14;12;1,79;5,15;4,5;3;51;0;1,1;1951;504;358;54;8,9;5,9;10,1;495,51;403;1,04;1,04;1,34;0;0
E037;Puré de papas instantáneo (tipo TeknoFood);gramos;1;7,76;355,81;9,78;3,21;0,78;1,91;0,9;0;71,95;6,2;1,1;1951;504;128;290;1,03;1,13;4,2;38,4;28,87;0,42;0,34;0;0;0
E038;Pastel de papas fortificado (tipo TeknoFood);gramos;1;16,1;367,6;21,4;12;2,93;7,2;1,86;6;43,5;5,9;1,1;1027,3;912,6;348;423,8;5,8;6;12,8;139,4;510,8;1;1,1;0,6;0;0
E039;Arroz con leche fortificado (tipo TeknoFood);gramos;1;7;418,7;12;10,3;6,13;2,89;0,24;37;69,5;0;1,2;141,8;531;500;326,5;9;12,2;22,5;250;1000;1,7;2,1;1,3;0;0
E040;Galletitas fortificadas (tipo TeknoFood);gramos;1;3,9;451,34;7,6;14,5;4,063;8,103;1,218;0;72,61;0,4;1;323;99;0;111;1,7;0;21,52;165;12;1,4;1,9;9;0;0
E041;Budín mixto (tipo TeknoFood);gramos;1;22,8;377,96;8,9;16;7,16;4,8;0,38;268;49,59;1,81;0,85;47,87;96,3;13,17;78,6;2,17;0,67;0,6;10,23;104;0,077;0,049;0,05;0;0
E042;Budín clásico (tipo TeknoFood);gramos;1;22,8;377,96;8,9;16;7,16;4,8;0,38;268;49,59;1,81;0,85;47,87;96,3;13,17;78,6;2,17;0,67;0,6;10,23;104;0,077;0,049;0,05;0;0
E043;Saborizante de vainilla (tipo TeknoFood);gramos;1;0,03;399,92;0;0;0;0;0;0;99,98;0;1,1;233;41;1;0;0,01;0;0;0;0;0;0,019;0;0;0
E044;Saborizante de chocolate (tipo TeknoFood);gramos;1;0,03;399,92;0;0;0;0;0;0;99,98;0;1,1;233;41;1;0;0,01;0;0;0;0;0;0,019;0;0;0
E045;Milanesa de soja (tipo TeknoFood);gramos;1;11,41;401,2;29,48;14,92;1,65;4,2;9,15;0;37,25;2,92;1,1;1951;504;187,12;507,8;5,35;2,44;3;164,57;0;0,33;0,15;0;0;0
E046;Minestrone sabor Jamón Fortificado (tipo TeknoFood);gramos;1;23,7;317,7;14,8;10,5;8,2;3;0,7;26;41;8,9;1,1;1963;504;480;213;5,6;12;18;200;800;1,4;1,6;1;0;0
E047;Cereales Fortificados (tipo TeknoFood);gramos;1;3;365,2;7;0,8;0,19;0,11;0,32;0;82,5;3,5;3,2;725;90;0;0;6;6,25;7,5;83,3;537;0,6;0,7;5,4;0;0
F001;Aceituna verde pulpa encurtida;gramos;1,55;75,2;130,3;1,5;13,5;2,029;11,314;1,307;0;0,7;3,3;5,8;2250;91;61;17;1,03;0,04;2,6;3;20;0,025;0,137;0;1,6;0
