Código;Alimento;Unidades;Factor Correc;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
Q003;Queso descremado untable;gramos;1;78,6;81,9;13,7;0,3;0,189;0,085;0,009;1;6,1;0;1,29;106;260;116;198;0,13;0,33;0,12;21,83;40,2;0,02;0,148;0,022;0;0
Q004;Ricota;gramos;1;70,9;169;11,6;11,8;7,54;3,297;0,35;46;4,1;0;1,58;84,94;106,2;209,33;159,78;0,38;1,17;0,11;12,1;121,35;0,013;0,197;0,34;0;0
Q005;Fundido;gramos;1;39,09;364,14;24,48;29,58;18,428;8,471;1,032;102;0;0;6,83;732,13;96,8;645,56;476,38;0,4;3,33;0,15;14,07;234,71;0,067;0,368;1;0;0
Q006;Quesos de Pasta Blanda Promedio: cuartirolo, doble crema, Limburgues, muzzarella;gramos;1;52,05;289,22;21,05;21,98;13,88;5,749;0,63;62;1,8;0;3,12;569,5;66,8;452,03;405,05;0,83;1,98;0,23;9,555;235,31;0,039;0,559;1,215;0;0
Q007;Quesos de Pasta Semidura Promedio: Azul, Chubut, Fontina, Gruyère, Holanda, Mar del Plata, Pategrás, Queso de máquina, Roquefort, Taif, Tandil;gramos;1;39,09;364,14;24,48;29,58;18,428;8,471;1,033;102;0;0;6,83;732,13;96,8;645,56;476,38;0,4;3,33;0,15;14,07;235;0,067;0,368;1;0;0
Q008;Quesos de Pasta Dura Promedio: Goya, Parmesano, Provolone, Reggianito, Sardo, Sbrinz;gramos;1;32,82;384,42;31,46;27,22;14,84;6,79;0,51;77;3,4;0;7,87;998;65,8;996;698;0,7;2,37;0,15;6,19;90,05;0,055;0,333;1,03;0;0
S001;Hierro (elemental);miligramos;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0
S002;Ácido fólico (elemental);microgramos;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;166,66;0;0;0;0;0;0
S003;Vitamina A (elemental);Neto: mcg  Bruto: U.I.;3,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
S004;Vitamina D (elemental);Unidades Internacionales;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100
S005;Calcio (elemental);miligramos;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0
S006;Vitamina B12 (elemental);microgramos;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0
S007;Ensure Polvo;mililitros;1;6,8;449;16,2;16,2;2,12;3,95;8,68;9;59,6;0;1,2;359;664;225;225;4;5;8,94;298;350;0,68;0,76;2,68;68;0
S008;Ensure Plus;mililitros;1;65,9;149,56;5,49;4,8;0,42;2,66;1,6;2;21,1;0;2,7;101,2;186;84,4;84,4;1,9;1,6;2,1;70;158;0,16;0,18;0,63;12,7;0
S009;Ensure Plus drink;mililitros;1;65,93;150,08;6,25;4,92;0,42;2,66;1,6;2;20,2;0;2,7;120;200;117;92;2,67;1,6;3;55;116;0,2;0,27;0,75;11,9;0
S010;Kas Mil (por 100 g de polvo);mililitros;1;2,8;493,8;16,2;25;3,8;7,95;12,17;0;51;0;5;400;610;510;350;6,1;5,1;1,5;38;456;0,25;0,37;0,9;50;0
U001;Huevo de gallina entero crudo;gramos;1,19;74,9;155,8;12;11,8;3,18;4,53;2,89;449;0,4;0;0,95;135;138;56;213;2,53;1,15;0,2;48,88;145,6;0,2;0,523;1,34;0;0
U002;Huevo de gallina clara cruda;gramos;1;87,1;48,2;11,6;0,2;0;0;0;0;0;0;1,1;186;142;10;28;0,86;0,03;0,11;4;0;0,004;0,439;0,09;0;0
U003;Huevo de gallina yema cruda;gramos;1;52,1;324,7;16,6;28,7;9,551;11,738;4;1315;0;0;2,6;48;109;129;390;2,73;2,3;0,02;146;381;0,176;0,528;1,95;0;0
U004;Huevo de codorniz entero crudo;gramos;1,19;71,9;174,5;13,6;13,3;4,268;5,188;1,588;430;0,1;0;1,1;145;136;66;233;3,75;1,51;0,15;68;160;0,133;0,813;1,63;0;0
Y001;Yogur entero natural;gramos;1;86,1;66,6;4,6;3;1,934;0,824;0,084;12;5,3;0;1;47;158;123;97;0,05;0,6;0,08;7;27,5;0,029;0,145;0,38;0;0
Y002;Yogur entero saborizado;gramos;1;79,8;88,8;4,4;2,4;1,548;0,659;0,068;9;12,4;0;1;59;172;125;114;0,1;0,44;0,1;8,95;29;0,048;0,183;0,376;0;0
Y003;Yogur descremado;gramos;1;88,5;42,6;4,3;0,2;0,129;0,054;0,005;2;5,9;0;1,1;75;177;110;125;0,09;0,37;0,08;8;0;0,033;0,159;0,42;0;0
Y004;Yogur entero bebible saborizado;gramos;1;80,8;86,6;2,7;2,6;1,677;0,714;0,074;8;13,1;0;0;42,1;124;93;71;0,03;0,34;0,06;6,05;28;0,03;0,13;0,3;0;0
Y005;Yogur descremado bebible;gramos;1;91,5;30,05;3;0,05;0,032;0,014;0,001;2;4,4;0;1,05;47,6;139;110;85;0,09;0,35;0,07;29,1;0;0,03;0,14;0,33;0;0
Y006;Flan listo para consumir;gramos;1;74,63;113,52;2,95;3;1,8;0,821;0,111;12;18,68;0;0,74;112;160;111;84;0,06;0,35;0,08;4;29;0,031;0,145;0,26;0;0
Y007;Flan diet  listo para consumir;gramos;1;74,63;106,02;3,7;1,5;0,9;0,41;0,055;6;19,43;0;0,74;112;160;111;84;0,06;0,35;0,08;4;29;0,031;0,145;0,26;0;0
